"","gene","logfc","ave_expr","p_value","adj_p_value","comparison"
"NCAPD3","NCAPD3",-0.184148869514367,8.24191362238776,0.00344423598245028,0.00799343396257999,"cid1 - cid0"
"PRSS22","PRSS22",-0.249989045050233,8.57549098157952,0.00344450667124245,0.00799343396257999,"cid1 - cid0"
"CHUK","CHUK",-0.148168655362943,8.93422774340705,0.00344663204276354,0.00799629351616014,"cid1 - cid0"
"FBXO16","FBXO16",0.196345466574113,7.21286114184799,0.00344810088758057,0.00799762882033909,"cid1 - cid0"
"SLC10A3","SLC10A3",-0.172803864993789,8.33519322639481,0.00345613223185253,0.00801418074897066,"cid1 - cid0"
"MS4A4A","MS4A4A",0.365487979362998,7.69107819934372,0.00345798327509366,0.00801639675347321,"cid1 - cid0"
"INTS3","INTS3",0.178410643431635,9.44167765096003,0.00346636534366279,0.00803374810298033,"cid1 - cid0"
"ALDH16A1","ALDH16A1",0.157552473486684,8.51985531792035,0.00346802178140923,0.00803404938576964,"cid1 - cid0"
"NDUFB8","NDUFB8",-0.205607555601064,11.0250302863979,0.00346829005651733,0.00803404938576964,"cid1 - cid0"
"DYNLL2","DYNLL2",-0.166618269838963,10.2557877995472,0.00348075623274272,0.00806084080490055,"cid1 - cid0"
"TUBGCP6","TUBGCP6",0.327146946304627,6.84438743652659,0.00348317782882826,0.00806435467483755,"cid1 - cid0"
"FAM193B","FAM193B",0.157010515979197,8.96890564595131,0.00348407504548996,0.00806435467483755,"cid1 - cid0"
"FUNDC2","FUNDC2",0.136694301409303,9.97233762508178,0.00348699338102703,0.00806902345317524,"cid1 - cid0"
"GTDC1","GTDC1",0.130326205487059,8.16509497537312,0.00349334974920648,0.00808164348957251,"cid1 - cid0"
"MANBA","MANBA",0.192264368311319,8.26178063496533,0.00349865405633886,0.00809182375778916,"cid1 - cid0"
"SMIM7","SMIM7",-0.174027825660505,7.45834461175662,0.00350703878329346,0.0081091214428787,"cid1 - cid0"
"FBXL17","FBXL17",-0.139213919113288,9.02522017388464,0.00351355582137943,0.008122092762409,"cid1 - cid0"
"CGREF1","CGREF1",-0.604750513025594,6.08005356001581,0.00353054765770459,0.00815733806556822,"cid1 - cid0"
"DCAF11","DCAF11",-0.161617190899625,9.27088476846406,0.00353062493064636,0.00815733806556822,"cid1 - cid0"
"RPL34","RPL34",0.194959133002611,13.7517197373507,0.00354815763759257,0.00819573150912444,"cid1 - cid0"
