"","gene","logfc","ave_expr","p_value","adj_p_value","comparison"
"ADGRE2","ADGRE2",1.13275366803617,8.4605902200229,9.85459497900957e-12,2.16561424835082e-10,"cid1 - cid0"
"LILRA6","LILRA6",1.22643870714623,7.66836275315905,1.03129956646992e-11,2.23024758903508e-10,"cid1 - cid0"
"G0S2","G0S2",1.69175211888338,10.2929131637574,1.11138439759649e-11,2.3634737557438e-10,"cid1 - cid0"
"ITGB2","ITGB2",1.09105325050248,9.20900867701905,1.20408789171919e-11,2.51873805947707e-10,"cid1 - cid0"
"MGP","MGP",1.06761327040404,9.42111425194035,1.24090509021006e-11,2.57768521407208e-10,"cid1 - cid0"
"TNFAIP2","TNFAIP2",1.13890389176759,7.10960784721838,1.25137353495486e-11,2.59023023641893e-10,"cid1 - cid0"
"LILRB2","LILRB2",1.22809767580291,8.51648986181969,1.25273058457433e-11,2.59023023641893e-10,"cid1 - cid0"
"PIM2","PIM2",1.10481659425748,10.2460899890604,1.32743525052409e-11,2.72580912796838e-10,"cid1 - cid0"
"PTGS2","PTGS2",1.95630496629386,8.56320836406541,1.39174198337498e-11,2.82545713767713e-10,"cid1 - cid0"
"ALOX5AP","ALOX5AP",1.20390444161784,9.71163163044399,1.5979154988252e-11,3.15808773973112e-10,"cid1 - cid0"
"C5AR1","C5AR1",1.27633621438933,8.62638108801771,1.76220649074749e-11,3.44415707883876e-10,"cid1 - cid0"
"VCAN","VCAN",1.02141206185521,8.63783031777046,1.98222757903452e-11,3.80719382727917e-10,"cid1 - cid0"
"TNFRSF9","TNFRSF9",1.0958393330564,7.71104628595756,2.24235095958873e-11,4.22044747857083e-10,"cid1 - cid0"
"STC1","STC1",1.34998433346451,8.72741765350383,2.24450089015715e-11,4.22044747857083e-10,"cid1 - cid0"
"KCNJ15","KCNJ15",2.06939346120658,7.63836984568532,2.49418737992841e-11,4.59474477623436e-10,"cid1 - cid0"
"LRRC31","LRRC31",-1.05984100386182,8.14243375069904,2.56159576485471e-11,4.6912654768993e-10,"cid1 - cid0"
"SPOCK1","SPOCK1",1.09829738756773,6.94288479709053,2.56230181861249e-11,4.6912654768993e-10,"cid1 - cid0"
"IL13RA2","IL13RA2",1.81506110317957,7.96644835613616,2.73763759639546e-11,4.98172142287166e-10,"cid1 - cid0"
"CXCR2","CXCR2",1.90753429826235,8.46653709171702,2.77256076985148e-11,5.0350378443165e-10,"cid1 - cid0"
"FGF2","FGF2",1.11247776697476,7.27354684085659,3.28320269471315e-11,5.8554808218659e-10,"cid1 - cid0"
"SCGB2A1","SCGB2A1",-1.32119589614952,7.57380492636788,3.56989768102321e-11,6.2792326008253e-10,"cid1 - cid0"
"FNDC1","FNDC1",1.65473525020796,6.60632513500865,3.7799921145776e-11,6.51449852560881e-10,"cid1 - cid0"
"CORO1A","CORO1A",1.16542411946563,10.1896672490944,3.82369705076776e-11,6.57074082447674e-10,"cid1 - cid0"
"CXCL8","CXCL8",1.63297830617617,12.0960903295036,4.404265949253e-11,7.4361399540936e-10,"cid1 - cid0"
"PCOLCE","PCOLCE",1.42964639376933,8.68530644789621,4.50756356487425e-11,7.55739933266795e-10,"cid1 - cid0"
"HEPACAM2","HEPACAM2",-1.27917546410781,9.39108684821251,4.50759660856102e-11,7.55739933266795e-10,"cid1 - cid0"
"CXCL6","CXCL6",1.66312338927247,9.62710750746061,4.58233175134025e-11,7.63977954743935e-10,"cid1 - cid0"
"ITLN1","ITLN1",-1.88134133141233,12.4418606403461,4.8912791835095e-11,8.02044368680597e-10,"cid1 - cid0"
"GUCY1A3","GUCY1A3",1.28287375780489,8.16974087344178,5.1825939146271e-11,8.45168730740555e-10,"cid1 - cid0"
"CSF3R","CSF3R",1.29730149255927,9.41232257884883,6.0863038285566e-11,9.73537474794731e-10,"cid1 - cid0"
"LILRB1","LILRB1",1.58178969743161,7.4078530238623,6.54411126329573e-11,1.03922893470297e-09,"cid1 - cid0"
"SELE","SELE",1.96148070937176,8.39177034975871,6.6462450127111e-11,1.047602668993e-09,"cid1 - cid0"
"TREM1","TREM1",2.0186958646893,8.3463731523921,7.38973577505865e-11,1.14662572606759e-09,"cid1 - cid0"
"TLR2","TLR2",1.42279538493897,8.17201160842774,7.60866937211052e-11,1.17651842639906e-09,"cid1 - cid0"
"GLIS3","GLIS3",1.3690280486817,7.00695825637502,8.81098035656896e-11,1.34615541181505e-09,"cid1 - cid0"
"ACSL1","ACSL1",1.34578376096982,10.3188348322341,9.01544892964333e-11,1.36856722528463e-09,"cid1 - cid0"
"CCDC3","CCDC3",1.52242847502899,7.88389342638084,9.01881674207451e-11,1.36856722528463e-09,"cid1 - cid0"
"KLK6","KLK6",1.36359739182774,8.11096701996047,9.1503633066013e-11,1.3838378831757e-09,"cid1 - cid0"
"BCL2A1","BCL2A1",1.6899524783209,9.94180897432015,9.27571757597817e-11,1.40043000771893e-09,"cid1 - cid0"
"ARRB2","ARRB2",1.11123451807347,8.78930055724676,9.76367883092383e-11,1.4691464970296e-09,"cid1 - cid0"
"MNDA","MNDA",1.6003979673773,9.20065693288653,1.07836861888881e-10,1.59844937829661e-09,"cid1 - cid0"
"EGFL6","EGFL6",1.11372183379904,7.34916967460554,1.33516503855641e-10,1.92802138551541e-09,"cid1 - cid0"
"PPP1R14C","PPP1R14C",-1.2498267561953,8.01125586970599,1.39246507807976e-10,2.00752654493529e-09,"cid1 - cid0"
"SCNN1B","SCNN1B",-1.38115546147622,8.18909727155899,1.50160376726431e-10,2.15101736453077e-09,"cid1 - cid0"
"SLC2A3","SLC2A3",1.43462872709406,9.20064572706814,1.60510748423429e-10,2.28103608037296e-09,"cid1 - cid0"
"P2RY13","P2RY13",1.28831269981092,7.70176876673285,1.65359635844237e-10,2.34621999954589e-09,"cid1 - cid0"
"SLAMF7","SLAMF7",1.10463568200573,8.8516451554181,1.66216554610268e-10,2.35464685668629e-09,"cid1 - cid0"
"VNN2","VNN2",1.73696945415321,8.49800850435874,1.69912143966118e-10,2.39562744083253e-09,"cid1 - cid0"
"CREB5","CREB5",1.41804656944929,6.96240937055191,1.85170582821404e-10,2.5782771819596e-09,"cid1 - cid0"
"P2RY8","P2RY8",1.40321364551935,8.09399104851085,2.32436738087676e-10,3.16743701080512e-09,"cid1 - cid0"
"CXCR1","CXCR1",2.42841962965635,6.84901452976829,2.41846460382972e-10,3.28566215448975e-09,"cid1 - cid0"
"PCNX1","PCNX1",1.09925603798388,7.40917048414284,2.99123966727469e-10,3.95577086279324e-09,"cid1 - cid0"
"RGS5","RGS5",1.00819665825647,8.65413477035864,3.09046714957263e-10,4.05703114224689e-09,"cid1 - cid0"
"COL6A1","COL6A1",1.12002551850879,8.61396525104814,3.5882830580473e-10,4.64247084085223e-09,"cid1 - cid0"
"IFI44L","IFI44L",1.3065593273014,7.07461071546487,3.74727526334715e-10,4.82030968861309e-09,"cid1 - cid0"
"GLIPR1","GLIPR1",1.00047600260879,8.14871803992938,3.7893281652382e-10,4.85348427230008e-09,"cid1 - cid0"
"MZB1","MZB1",1.33718762284749,10.5137414925635,3.86186666717229e-10,4.9322813510975e-09,"cid1 - cid0"
"RGS4","RGS4",1.0222736852773,7.19090944234899,4.10648687238169e-10,5.20019476215463e-09,"cid1 - cid0"
"AQP9","AQP9",2.08540271647526,9.06697221184508,4.20015008346923e-10,5.3112914826695e-09,"cid1 - cid0"
"TAGAP","TAGAP",1.23066829020337,7.36605686074547,4.44753588135941e-10,5.56906136305046e-09,"cid1 - cid0"
"GUCA2A","GUCA2A",-1.82541704167307,10.0663091413816,5.61475833300378e-10,6.84862825005216e-09,"cid1 - cid0"
"GPR183","GPR183",1.04644827177618,8.9178092914196,5.91561216640092e-10,7.13779996304413e-09,"cid1 - cid0"
"CYP26B1","CYP26B1",1.91456792766502,7.03728038217238,6.86498640718708e-10,8.17316799249282e-09,"cid1 - cid0"
"GBP5","GBP5",1.19080342632116,8.41518768429926,7.22519457141865e-10,8.54520039602526e-09,"cid1 - cid0"
"CHP2","CHP2",-2.13008445506048,7.75901604253623,7.78333702813972e-10,9.12097073467734e-09,"cid1 - cid0"
"HGF","HGF",1.02285613582828,7.74048911609044,8.86932210677939e-10,1.02593075997411e-08,"cid1 - cid0"
"TLR1","TLR1",1.1140249949455,7.62556962146601,9.09884950343819e-10,1.05112257553912e-08,"cid1 - cid0"
"CKB","CKB",-1.12058419997748,10.6292908573169,9.75111023202225e-10,1.11354196310325e-08,"cid1 - cid0"
"CA7","CA7",-1.49237171970972,7.65766417088714,9.87418205068813e-10,1.12472712340726e-08,"cid1 - cid0"
"PTGDS","PTGDS",1.06732999102855,8.8204720220691,1.04908362439339e-09,1.18591485974672e-08,"cid1 - cid0"
"NXPE4","NXPE4",-1.31447965069982,9.35268543338486,1.05934508888041e-09,1.19449830991767e-08,"cid1 - cid0"
"KLHL21","KLHL21",1.0835158058837,6.86498601207787,1.13205626465377e-09,1.27168127195047e-08,"cid1 - cid0"
"SLC2A6","SLC2A6",1.28834687176056,7.29275823309865,1.18442905740278e-09,1.32221862231011e-08,"cid1 - cid0"
"FPR2","FPR2",1.47542528677742,7.60174033682298,1.29941397357288e-09,1.43625349449358e-08,"cid1 - cid0"
"LY6E","LY6E",1.0334733181914,7.5017466120006,1.50357110959616e-09,1.63243291829509e-08,"cid1 - cid0"
