"","gene","logfc","ave_expr","p_value","adj_p_value","comparison"
"B3GNT6","B3GNT6",-1.34151685177086,7.97051071831761,7.61345828533969e-08,5.28485552473977e-07,"cid1 - cid0"
"TPSG1","TPSG1",-1.22743046584865,8.06004051043857,9.32768599699493e-08,6.391074133093e-07,"cid1 - cid0"
"BEST2","BEST2",-1.71220515429799,7.56526288306681,1.03351919557728e-07,6.98346970415347e-07,"cid1 - cid0"
"DKK1","DKK1",1.27306492964875,7.59765442903246,1.06301424555365e-07,7.1503880844792e-07,"cid1 - cid0"
"CMTM2","CMTM2",1.20884077664541,7.64854182551715,1.07179961494031e-07,7.19326982950568e-07,"cid1 - cid0"
"MS4A12","MS4A12",-1.70312196709608,11.0344021832149,1.0989438988442e-07,7.34790494873199e-07,"cid1 - cid0"
"CD19","CD19",1.18476667448967,8.42844283275603,1.1268558696877e-07,7.50650342359669e-07,"cid1 - cid0"
"S100A9","S100A9",1.44993139204758,11.315155193302,1.26613899243484e-07,8.29849370371091e-07,"cid1 - cid0"
"CD69","CD69",1.00308597438434,8.9390009486948,1.47219357499056e-07,9.49607282196723e-07,"cid1 - cid0"
"MCEMP1","MCEMP1",1.41750742339541,7.90921025605771,1.57493982618746e-07,1.00933688359744e-06,"cid1 - cid0"
"FCRLA","FCRLA",1.01133471140218,7.76937079195928,1.60607417951016e-07,1.02568933287107e-06,"cid1 - cid0"
"CD180","CD180",1.12886648510498,7.86023945249596,1.6096208116652e-07,1.02568933287107e-06,"cid1 - cid0"
"SOSTDC1","SOSTDC1",-1.06749039328395,7.13574258728437,2.53599559500195e-07,1.53618190541627e-06,"cid1 - cid0"
"IDO1","IDO1",1.07672798668903,10.7427856497242,2.72922373549335e-07,1.64211963063656e-06,"cid1 - cid0"
"KRT6A","KRT6A",1.25338864368434,7.18157596433658,2.7823940268146e-07,1.67298681813775e-06,"cid1 - cid0"
"IL18RAP","IL18RAP",1.06585758771225,7.54578675100524,2.79995248598967e-07,1.68128602327737e-06,"cid1 - cid0"
"SPINK5","SPINK5",-1.04869632606038,10.5780529050835,2.8400429767651e-07,1.70391263649754e-06,"cid1 - cid0"
"CXCL10","CXCL10",1.15207391248927,10.1656999076094,3.28963305790311e-07,1.94578539154024e-06,"cid1 - cid0"
"HOXB13","HOXB13",-1.45475015557305,8.14122491017516,3.5059495566459e-07,2.06777117132087e-06,"cid1 - cid0"
"ADH1C","ADH1C",-1.44020674022992,8.87482499666762,3.67936593587182e-07,2.15726019802622e-06,"cid1 - cid0"
"FFAR2","FFAR2",1.31565748420383,8.10831823278165,4.29265465755349e-07,2.48590796565824e-06,"cid1 - cid0"
"CD3G","CD3G",1.07683526129917,7.16380685467845,4.49915808169382e-07,2.59542282895649e-06,"cid1 - cid0"
"F5","F5",1.02316316316586,6.51008786181546,8.69483373737038e-07,4.75243262824646e-06,"cid1 - cid0"
"BEST4","BEST4",-1.59223865194061,6.82085012676351,9.27826760693141e-07,5.03444423544587e-06,"cid1 - cid0"
"GLDN","GLDN",-1.21414426999522,8.09244393613848,1.08737476885353e-06,5.81209928689292e-06,"cid1 - cid0"
"MIER3","MIER3",-1.30653104965554,6.30170896473803,1.18826529070824e-06,6.30992832011322e-06,"cid1 - cid0"
"LRRC25","LRRC25",1.13477012089675,6.83378693919557,1.50371172401665e-06,7.80900873846932e-06,"cid1 - cid0"
"RETNLB","RETNLB",-1.40697665583675,9.22207354108695,1.56378877697811e-06,8.09283290189884e-06,"cid1 - cid0"
"SIT1","SIT1",1.02962382525206,7.16483907280574,1.60763733964907e-06,8.31014844219292e-06,"cid1 - cid0"
"EDN3","EDN3",-1.00279133689381,8.37394225250592,1.69835144146024e-06,8.72866845889411e-06,"cid1 - cid0"
"CNTN3","CNTN3",-1.23905072180806,5.91506240089844,1.74325695272186e-06,8.93893442022843e-06,"cid1 - cid0"
"CD177","CD177",-1.32378784286418,10.2822715030359,2.38565800925025e-06,1.18265759450816e-05,"cid1 - cid0"
"CXCL9","CXCL9",1.00707289002851,9.53378184544781,2.91158491113904e-06,1.4113383708407e-05,"cid1 - cid0"
"BANK1","BANK1",1.23280335378888,8.1944375671494,5.46877460242539e-06,2.47157693162618e-05,"cid1 - cid0"
"SLC16A4","SLC16A4",1.03873818508444,7.51038912024056,5.55640008288962e-06,2.50611838499299e-05,"cid1 - cid0"
"LTF","LTF",1.85764439709443,7.98256203481762,6.44469161598096e-06,2.85216628956389e-05,"cid1 - cid0"
"MSLN","MSLN",1.31370352847521,7.04032747770778,7.2651781489365e-06,3.17603222497209e-05,"cid1 - cid0"
"GJA4","GJA4",1.0070641212837,6.71797906291562,7.60542850986822e-06,3.30540783732282e-05,"cid1 - cid0"
"GREM1","GREM1",1.17620801805496,10.346316617354,9.4747157621344e-06,4.03362483206797e-05,"cid1 - cid0"
"FDCSP","FDCSP",1.72031960027247,9.60110108294941,9.64125265637462e-06,4.1006239920438e-05,"cid1 - cid0"
"CXCL11","CXCL11",1.08975912425989,9.10577218013051,1.79663680737398e-05,7.15061585994783e-05,"cid1 - cid0"
"GCG","GCG",-1.04720955939098,10.5247017740093,2.00424672950641e-05,7.88401624308914e-05,"cid1 - cid0"
"GZMK","GZMK",1.04671854278214,7.54568039792222,2.15451663227745e-05,8.41596309283597e-05,"cid1 - cid0"
"CLCA1","CLCA1",-1.65353289215571,11.7221356398055,2.773055379292e-05,0.0001059631447324,"cid1 - cid0"
"MS4A1","MS4A1",1.28359108788826,9.25954131412985,3.05503911354257e-05,0.000115457007950809,"cid1 - cid0"
"CLDN8","CLDN8",-1.69187248127017,5.16413766904497,5.12463559532835e-05,0.000183450069911934,"cid1 - cid0"
"CR2","CR2",1.62072174249688,8.97463241894818,7.25642161597843e-05,0.000249872087414827,"cid1 - cid0"
"TCL1A","TCL1A",1.37021835328145,7.55781853933823,0.000146359304602357,0.000469829635749336,"cid1 - cid0"
"UGT2B17","UGT2B17",-1.30301690309789,9.52046472247655,0.0127341076323795,0.0254899864693736,"cid1 - cid0"
"TM4SF4","TM4SF4",1.11728102410205,5.73012166319927,0.026628462407702,0.0489336256026592,"cid1 - cid0"
