"","gene","logfc","ave_expr","p_value","adj_p_value","comparison"
"CLPB","CLPB",0.336908910325156,6.8449224053191,0.0460430469339323,0.0793257526507792,"cid1 - cid0"
"PNPLA6","PNPLA6",0.151048752748393,8.95053029058032,0.0460466811712386,0.0793257526507792,"cid1 - cid0"
"RFC5","RFC5",-0.132790413789692,8.38997166036635,0.0461653123914435,0.0795148214391292,"cid1 - cid0"
"FAXDC2","FAXDC2",-0.263728097422085,8.30664762706241,0.0461996455841113,0.0795586510703113,"cid1 - cid0"
"CREB3","CREB3",-0.1124282538233,9.49969651617994,0.0462120817508154,0.0795647630605866,"cid1 - cid0"
"EIF4ENIF1","EIF4ENIF1",0.103043951700013,8.73803824552422,0.0462232773165528,0.0795687371303783,"cid1 - cid0"
"AFF1","AFF1",-0.101919163353772,10.8679119208829,0.0462513387588963,0.0796017370066126,"cid1 - cid0"
"SECISBP2","SECISBP2",-0.0944816894131062,9.19994105903312,0.046262951700535,0.0796064206371113,"cid1 - cid0"
"TAF1B","TAF1B",0.201382002780777,6.53580540856203,0.046320536589866,0.0796901929456322,"cid1 - cid0"
"CLEC16A","CLEC16A",0.145118124968855,7.92146594205805,0.0463531596739615,0.0797309968416863,"cid1 - cid0"
"CYTH1","CYTH1",0.224865732113773,8.19081562485044,0.0463642431538476,0.0797347424042255,"cid1 - cid0"
"MRPL54","MRPL54",-0.0857021452696198,9.40039356847938,0.0464098886267147,0.0797979129777179,"cid1 - cid0"
"SLC18B1","SLC18B1",-0.111522471718088,9.04074774289944,0.0464199452778793,0.0797998790462468,"cid1 - cid0"
"WAC","WAC",0.0745579114008734,10.7965688331799,0.0464390345397678,0.0798173692137725,"cid1 - cid0"
"UBR3","UBR3",-0.112962288659455,9.390516153785,0.0466759054859345,0.0802090943983823,"cid1 - cid0"
"PLEKHG4","PLEKHG4",-0.150168646854434,7.15422214067409,0.0466976392565514,0.0802310428447331,"cid1 - cid0"
"BCL6B","BCL6B",0.301292648917873,7.13578489446388,0.0467320808101628,0.0802748118751703,"cid1 - cid0"
"NDFIP1","NDFIP1",-0.0916557472169046,10.7518011746184,0.0469333596656921,0.0806050966980512,"cid1 - cid0"
"PCSK1N","PCSK1N",-0.29276672365054,7.24432540185122,0.047044638103916,0.0807807144120368,"cid1 - cid0"
"APRT","APRT",-0.112356737357334,9.33448943219199,0.0470676552330866,0.0808047396551917,"cid1 - cid0"
"SULF1","SULF1",0.273512750649866,7.61582814713677,0.0470921620286592,0.0808313126231951,"cid1 - cid0"
"GDAP2","GDAP2",-0.150301606092212,7.36107429553092,0.0471045277368068,0.0808370398366171,"cid1 - cid0"
"LZTFL1","LZTFL1",-0.128375263025465,8.01329205394451,0.0471696598217896,0.0809333009552477,"cid1 - cid0"
"BIRC5","BIRC5",-0.21343809046484,7.3487909115608,0.0471836526970172,0.0809417977766612,"cid1 - cid0"
"EHBP1","EHBP1",0.28070511653357,6.89499993608444,0.0472003187866028,0.0809548762636887,"cid1 - cid0"
"MED20","MED20",-0.163344317211814,7.17131446572464,0.0472469158705339,0.081019275577263,"cid1 - cid0"
"GLT8D1","GLT8D1",-0.0840408237711152,9.78169776225559,0.047266489248062,0.0810373186974146,"cid1 - cid0"
"DDX41","DDX41",-0.0875537337995631,9.50100218834697,0.047338413835628,0.0811450926805242,"cid1 - cid0"
"IGFBP2","IGFBP2",-0.293853325798686,10.2148376065954,0.0473829124646284,0.0812058222235486,"cid1 - cid0"
