"","tstat","pvalue","R_mean","NR_mean"
"JECCA_1",-4.41571720472964,2.91480629700444e-05,-0.0846773750831781,0.0770869139627254
"JECCA_2",0.43493864427234,0.664558348320734,0.00758944392931484,-0.00966351073120406
"JECCA_3",-3.01321293793092,0.00329964542953703,-0.0558080101517174,0.0574668547396074
"JECCA_4",-0.601631011743566,0.548788214274701,-0.010087411829583,0.0137079340878723
"JECCA_5",0.655370898566871,0.513748028793216,0.0250075696353776,-0.000879354305440694
"JECCA_6",0.759392432529041,0.449426061901075,0.0100478632132102,-0.019995026199255
"JECCA_7",0.0528428117800013,0.957962609535885,0.00256179946662828,0.000475548484228924
"JECCA_8",-0.364666597649654,0.716173350176998,-0.0110267280490916,0.00350546810104935
"JECCA_9",-0.620769059083028,0.536186638412464,-0.00134470262831286,0.023225156038371
"JECCA_10",3.50955055443511,0.000705614226551244,0.0588452084261096,-0.0736292171311671
