"","tstat","pvalue","R_mean","NR_mean"
"JECCA_1",0.53144351717877,0.595651629485859,-0.00101084483144202,-0.010905059741861
"JECCA_2",2.78482839771147,0.00581064090064812,0.0234579314665042,-0.0272897987139331
"JECCA_3",0.17108032054587,0.864319688658222,-0.00407628689628892,-0.00726589674354354
"JECCA_4",1.94669664848486,0.0527139632888368,0.0191432103227331,-0.0158073274183265
"JECCA_5",-1.12832233880927,0.260436115342924,-0.00641442821153684,0.0146191216512309
"JECCA_6",-0.800047989930956,0.424585910547922,-0.0106848586671017,0.00433417367126475
"JECCA_7",0.348233916914693,0.727974046559069,-0.000252577494651504,-0.00661007944864133
"JECCA_8",-0.274572221912784,0.783879666655706,0.00308515309289774,0.00806848349330699
"JECCA_9",0.270696018935591,0.786856280499328,-0.00310996895000978,-0.00802423407833914
"JECCA_10",0.171041611173919,0.864335416662534,0.00434505697923312,0.00123237463821825
"JECCA_11",-0.29599596545282,0.767487678726573,0.00301397101947162,0.00838665719406871
"JECCA_12",-0.295993519778626,0.767489544174305,0.00301399039501165,0.00838663204964603
"JECCA_13",-0.295986000903723,0.767495280879446,0.00301432780658766,0.00838684207936037
"JECCA_14",-0.303293269118777,0.761928943570675,-0.0052351917660793,0.000279952037083922
"JECCA_15",0.295089604557747,0.7681792010159,-0.00299870743164538,-0.0083555166673423
"JECCA_16",-0.295089480941662,0.768179295329122,0.00299870842957274,0.00835551541044087
"JECCA_17",0.295089404922142,0.768179353330462,-0.00299870974274398,-0.00835551534829161
"JECCA_18",0.295089339659541,0.768179403123087,-0.00299871004654172,-0.0083555144640141
"JECCA_19",0.295089401228045,0.768179356148979,-0.00299870958253254,-0.00835551512150746
