"","tstat","pvalue","R_mean","NR_mean"
"JECCA_1",4.44242489818083,2.61930656886709e-05,0.0847635785653534,-0.0777707983515525
"JECCA_2",0.18650960042139,0.852424788519137,0.0037804312093233,-0.00360781038768617
"JECCA_3",3.10703089264034,0.00246013523143066,0.0598311810447639,-0.0573845018379899
"JECCA_4",1.04406533515435,0.298997631999696,0.0136267545415183,-0.0272274113084952
"JECCA_5",-0.4581963777709,0.647808751117928,-0.0205580622034192,-0.00246432889767482
"JECCA_6",-0.210682166503397,0.833564941278539,-0.00118918849201635,0.00714809469333794
"JECCA_7",-0.28577304523296,0.775653006826316,-0.0113474427096983,-7.40774817483193e-06
"JECCA_8",-0.215021608390288,0.83020569527146,-0.00620684846278188,0.00235408462202604
"JECCA_9",-0.0789495684287839,0.937232287020957,-0.0144290234955452,-0.0113031668811934
"JECCA_10",-3.77282384991482,0.000294435890306046,-0.0659344001386043,0.075510114998437
