"","tstat","pvalue","R_mean","NR_mean"
"JECCA_1",-4.08960963884935,9.58456419297936e-05,-0.0797803066999491,0.0717180233514391
"JECCA_2",-1.90892463079139,0.0591408521430499,-0.0359813204379204,0.0380404015040962
"JECCA_3",3.02769048850945,0.00313501054531529,0.0540070275074675,-0.0606055253659161
"JECCA_4",1.33734604998013,0.184259696134261,0.0318980733444637,-0.0208528940206015
"JECCA_5",-0.246477591879833,0.80582606562889,-0.000346974140250366,0.00933802620275761
"JECCA_6",0.315843023740544,0.752801584359648,0.011910441170513,-0.00046930315744743
"JECCA_7",0.419641171053597,0.675786784623347,0.0153061621241551,-0.00151146998811291
"JECCA_8",-1.64300735645847,0.103562248923318,-0.0363011952046315,0.0280197935921922
"JECCA_9",-0.0249039502902219,0.980181324130818,0.00793395972541667,0.00891898883634204
"JECCA_10",3.52640250320735,0.000650949578771393,0.0564644234864352,-0.0759884239408071
