"","tstat","pvalue","R_mean","NR_mean"
"JECCA_1",4.52101658779335,1.94533411229726e-05,0.0860747120481027,-0.0788453203833169
"JECCA_2",0.239960044343864,0.810854303842777,0.00414689434843668,-0.0053549303942566
"JECCA_3",2.52643280200223,0.0130915249873352,0.0481765892076567,-0.0485791522665707
"JECCA_4",1.09553095290733,0.275930114676137,0.0152938531026615,-0.0275978265337349
"JECCA_5",-1.32847595457994,0.187091123259557,-0.0377303022406148,0.0144514385048376
"JECCA_6",-0.540246852577784,0.590232182296242,-0.0112343539306315,0.0100315872660262
"JECCA_7",-0.125926328591554,0.900044747525103,-0.00601017277728379,-0.00101970372441797
"JECCA_8",-0.417317499503826,0.677384176049772,-0.00418537374810334,0.0124312301535138
"JECCA_9",0.535114266073016,0.593775302399352,-0.000489459831125082,-0.0216707813888846
"JECCA_10",-2.78959400543253,0.00658151135789427,-0.0525881824787241,0.0555541977395323
